group,session,date,end_date,title,flag,deadline,content,lesson,example,assignment,note
Foundations,Session 1,2026-08-24,2026-08-28,"Truth, beauty, and data + R and tidyverse",,,content/01-content,lesson/01-lesson,example/01-example,,
Foundations,,2026-09-01,,Assignment for session 1 due,,11:59 PM,,,,assignment/01-exercise,
Foundations,Session 2,2026-08-31,2026-09-04,Graphic design,,,content/02-content,lesson/02-lesson,example/02-example,,
Foundations,,2026-09-08,,Assignment for session 2 due,,11:59 PM,,,,assignment/02-exercise,
Foundations,Session 3,2026-09-07,2026-09-11,Mapping data to graphics,,,content/03-content,lesson/03-lesson,example/03-example,,
Foundations,,2026-09-15,,Assignment for session 3 due,,11:59 PM,,,,assignment/03-exercise,
Core types of graphics,Session 4,2026-09-14,2026-09-18,Amounts and proportions,,,content/04-content,lesson/04-lesson,example/04-example,,
Core types of graphics,,2026-09-22,,Assignment for session 4 due,,11:59 PM,,,,assignment/04-exercise,
Core types of graphics,Session 5,2026-09-21,2026-09-25,Themes,,,content/05-content,lesson/05-lesson,example/05-example,,
Core types of graphics,,2026-09-29,,Assignment for session 5 due,,11:59 PM,,,,assignment/05-exercise,
Core types of graphics,Session 6,2026-09-28,2026-10-02,Uncertainty,,,content/06-content,lesson/06-lesson,example/06-example,,
Core types of graphics,,2026-10-06,,Assignment for session 6 due,,11:59 PM,,,,assignment/06-exercise,
Core types of graphics,Session 7,2026-10-05,2026-10-09,Relationships,,,content/07-content,lesson/07-lesson,example/07-example,,
Core types of graphics,,2026-10-13,,Assignment for session 7 due,,11:59 PM,,,,assignment/07-exercise,
Core types of graphics,Session 8,2026-10-12,2026-10-16,Comparisons,,,content/08-content,lesson/08-lesson,example/08-example,,
Core types of graphics,,2026-10-20,,Assignment for session 8 due,,11:59 PM,,,,assignment/08-exercise,
Core types of graphics,,2026-10-20,,Mini project 1 due,TRUE,11:59 PM,,,,assignment/01-mini-project,
Special applications,Session 9,2026-10-19,2026-10-23,Annotations,,,content/09-content,lesson/09-lesson,example/09-example,,
Special applications,,2026-10-27,,Assignment for session 9 due,,11:59 PM,,,,assignment/09-exercise,
Special applications,Session 10,2026-10-26,2026-10-30,Enhancing graphics,,,content/10-content,lesson/10-lesson,example/10-example,,
Special applications,,2026-11-03,,Assignment for session 10 due,,11:59 PM,,,,assignment/10-exercise,
Special applications,Session 11,2026-11-02,2026-11-06,Interactivity,,,content/11-content,lesson/11-lesson,example/11-example,,
Special applications,,2026-11-10,,Assignment for session 11 due,,11:59 PM,,,,assignment/11-exercise,
Special applications,Session 12,2026-11-09,2026-11-13,Space,,,content/12-content,lesson/12-lesson,example/12-example,,
Special applications,,2026-11-17,,Assignment for session 12 due,,11:59 PM,,,,assignment/12-exercise,
Special applications,,2026-11-17,,Mini project 2 due,TRUE,11:59 PM,,,,assignment/02-mini-project,
Special applications,Session 13,2026-11-16,2026-11-20,Time,,,content/13-content,lesson/13-lesson,example/13-example,,
Special applications,,2026-11-24,,Assignment for session 13 due,,11:59 PM,,,,assignment/13-exercise,
Special applications,Session 14,2026-11-23,2026-11-27,Text,,,content/14-content,lesson/14-lesson,example/14-example,,
Special applications,,2026-12-01,,Assignment for session 14 due,,11:59 PM,,,,assignment/14-exercise,
Conclusions,Session 15,2026-11-30,2026-12-04,"Truth, beauty, and data revisited",,,content/15-content,lesson/15-lesson,example/15-example,,
Conclusions,,2026-12-08,,Assignment for session 15 due,,11:59 PM,,,,assignment/15-exercise,
Conclusions,,2026-12-08,,Final deadline for #TidyTuesday creation,,11:59 PM,,,,assignment/tidy-tuesday,
Conclusions,,2026-12-08,,Final project due,TRUE,11:59 PM,,,,assignment/final-project,
